,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
0,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:48:39.493281+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
1,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:48:44.972750+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
2,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:48:50.260766+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
3,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:48:55.544089+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
4,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:00.822208+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
5,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:06.096150+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
6,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:11.375543+00:00,ambiente,raspberry_pi_4,camera,34.0,33.8,35.0
7,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:16.637178+00:00,ambiente,raspberry_pi_4,camera,34.1,33.9,35.0
8,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:21.907031+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
9,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:27.167571+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
10,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:37.692684+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
11,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:42.817704+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
12,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:48.077697+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
13,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:53.347499+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
14,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:49:58.607677+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
15,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:50:03.880472+00:00,ambiente,raspberry_pi_4,camera,34.6,34.2,35.0
16,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:50:09.140616+00:00,ambiente,raspberry_pi_4,camera,34.7,34.3,35.0
17,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:50:14.410037+00:00,ambiente,raspberry_pi_4,camera,34.9,34.4,35.0
18,_result,0,2026-08-09 06:35:12.190901+00:00,2026-08-09 09:35:12.190901+00:00,2026-08-09 08:50:19.670532+00:00,ambiente,raspberry_pi_4,camera,35.2,34.6,35.0
