,result,table,_start,_stop,_time,_value,_field,_measurement,host,stanza
0,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:14.559159+00:00,34.8,percepita,ambiente,raspberry_pi_4,camera
1,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:19.864254+00:00,34.8,percepita,ambiente,raspberry_pi_4,camera
2,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:25.154050+00:00,34.8,percepita,ambiente,raspberry_pi_4,camera
3,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:35.711332+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
4,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:40.980813+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
5,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:46.252227+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
6,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:51.515667+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
7,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:19:56.787080+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
8,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:03.798800+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
9,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:09.058949+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
10,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:14.937455+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
11,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:20.198328+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
12,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:25.468816+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
13,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:30.729055+00:00,34.7,percepita,ambiente,raspberry_pi_4,camera
14,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:36.000479+00:00,34.6,percepita,ambiente,raspberry_pi_4,camera
15,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:41.260832+00:00,34.8,percepita,ambiente,raspberry_pi_4,camera
16,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:46.531043+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
17,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:51.792027+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
18,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:20:57.062230+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
19,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:07.587227+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
20,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:12.847290+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
21,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:18.117417+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
22,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:23.377528+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
23,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:28.647193+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
24,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:33.907788+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
25,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:39.178920+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
26,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:44.439350+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
27,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:49.709099+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
28,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:21:54.969272+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
29,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:00.239231+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
30,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:05.501773+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
31,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:10.771218+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
32,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:16.031739+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
33,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:21.301611+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
34,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:26.561739+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
35,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:31.832977+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
36,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:37.093378+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
37,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:42.363316+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
38,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:47.623405+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
39,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:22:52.892986+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
40,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:03.419628+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
41,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:08.679760+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
42,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:13.949270+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
43,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:19.209735+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
44,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:24.479308+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
45,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:29.739385+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
46,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:35.010259+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
47,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:40.270545+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
48,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:45.540408+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
49,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:50.800831+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
50,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:23:56.070989+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
51,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:01.331113+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
52,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:06.602311+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
53,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:11.862341+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
54,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:17.131903+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
55,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:22.392311+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
56,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:32.915888+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
57,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:38.187013+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
58,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:43.447313+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
59,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:48.716744+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
60,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:53.976862+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
61,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:24:59.247884+00:00,35.0,percepita,ambiente,raspberry_pi_4,camera
62,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:04.508328+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
63,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:09.781487+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
64,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:15.041548+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
65,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:20.311618+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
66,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:25.571769+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
67,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:30.841671+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
68,_result,0,2026-07-18 06:09:33.442244+00:00,2026-07-18 09:09:33.442244+00:00,2026-07-18 08:25:36.103654+00:00,35.2,percepita,ambiente,raspberry_pi_4,camera
