,result,table,_start,_stop,_time,_measurement,host,stanza,percepita,temperatura,umidita
0,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:00.604391+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
1,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:07.328718+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
2,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:12.597040+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
3,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:23.124992+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
4,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:28.396898+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
5,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:33.657004+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
6,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:38.927411+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
7,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:44.352702+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
8,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:50.409669+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
9,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:42:55.669748+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
10,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:00.944308+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
11,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:11.467968+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
12,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:16.729412+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
13,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:22.000754+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
14,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:27.260887+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
15,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:32.530574+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
16,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:37.790577+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
17,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:43.060314+00:00,ambiente,raspberry_pi_4,camera,38.2,34.7,45.0
18,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:48.320368+00:00,ambiente,raspberry_pi_4,camera,38.2,34.7,45.0
19,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:53.591360+00:00,ambiente,raspberry_pi_4,camera,38.2,34.7,45.0
20,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:43:58.851552+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
21,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:04.122459+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
22,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:09.382902+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
23,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:14.665980+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
24,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:19.938834+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
25,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:25.210673+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
26,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:30.470866+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
27,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:35.740934+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
28,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:41.001115+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
29,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:46.270729+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
30,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:51.532387+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
31,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:44:56.802573+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
32,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:02.062646+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
33,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:07.332565+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
34,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:12.592996+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
35,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:17.864521+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
36,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:23.124997+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
37,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:28.394722+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
38,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:33.654888+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
39,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:38.924705+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
40,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:44.184806+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
41,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:49.457095+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
42,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:54.717276+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
43,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:45:59.986680+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
44,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:05.246718+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
45,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:10.516682+00:00,ambiente,raspberry_pi_4,camera,37.9,34.7,44.0
46,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:15.776605+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
47,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:21.047492+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
48,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:26.307583+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
49,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:31.586412+00:00,ambiente,raspberry_pi_4,camera,37.6,34.7,43.0
50,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:36.851208+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
51,_result,0,2026-07-30 14:12:44.310056+00:00,2026-07-30 17:12:44.310056+00:00,2026-07-30 15:46:42.120692+00:00,ambiente,raspberry_pi_4,camera,37.3,34.7,42.0
